,Koja je vaša vjeroispovijest?,Smatrate li da živite pobožno?,Da li pohađate bogoslužbena mjesta,Koliko često u javnosti koristite spoljašnje znakove pobožnosti?,Koliko često u javnosti koristite neke religiozne predmete prilikom molitve?,Koliko često se molite prije obroka pred ljudima koji ne pripadaju vašoj vjeroispovijesti?,Koliko često kažete nekome da ćete se moliti za nekoga?,Koliko često ponudite nekoga da se moli zajedno sa vama?,"How often do you: Bring up your religion, unprompted, in conversation",Koliko često nepozvani pominjete religiju u vašim razgovorima,"How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you feel when you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you feel when you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How comfortable do you feel when you: Pray aloud before meals in the presence of people who don't belong to your religion,How comfortable do you feel when you: Tell someone you'll pray for him or her,How comfortable do you feel when you: Ask or offer to pray with someone,"How comfortable do you feel when you: Bring up your religion, unprompted, in conversation","How comfortable do you feel when you: Ask others about their religion, unprompted, in conversation","How comfortable do you feel when you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you feel when you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you feel when you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How comfortable do you think someone outside your religion would be if they saw you: Pray aloud before meals in the presence of people who don't belong to your religion,How comfortable do you think someone outside your religion would be if they saw you: Tell someone you'll pray for him or her,How comfortable do you think someone outside your religion would be if they saw you: Ask or offer to pray with someone,"How comfortable do you think someone outside your religion would be if they saw you: Bring up your religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Ask others about their religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you think someone outside your religion would be if they saw you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you think someone outside your religion would be if they saw you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How comfortable would you be seeing someone who practices a different religion from you: Pray aloud before meals in the presence of people who don't belong to that religion,"How comfortable would you be seeing someone who practices a different religion from you: Tell someone ""I'll pray for you""",How comfortable would you be seeing someone who practices a different religion from you: Ask or offer to pray with you,"How comfortable would you be seeing someone who practices a different religion from you: Bring up his or her own religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Ask you about your religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable would you be seeing someone who practices a different religion from you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable would you be seeing someone who practices a different religion from you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
297,Buddhist,No,Less than weekly,Not applicable to my religious beliefs,A few times per month,Never,Once a year or less,Once a year or less,Never,Never,Once a month or less,Every day,Never,I don't do this,Extremely comfortable,I don't do this,Very comfortable,Somewhat comfortably,Extremely comfortable,Not so comfortable,Very comfortable,Extremely comfortable,I don't do this,Not at all comfortable,Not at all comfortable,Extremely comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not at all comfortable,Somewhat comfortably,Not at all comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,30 - 44,Male,"$75,000 to $99,999",East North Central
298,Roman Catholic,No,Weekly or more,A few times per week,Never,Once a month or less,A few times per week,A few times per week,Never,Never,Never,Never,Never,Extremely comfortable,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,60+,Male,"$125,000 to $149,999",New England
299,Roman Catholic,No,Less than weekly,A few times per month,Never,Once a month or less,A few times per week,A few times per month,Once a year or less,A few times per week,Never,Once a year or less,Once a month or less,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,I don't do this,Very comfortable,Very comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,I don't do this,Not so comfortable,Not so comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
300,Agnostic,No,Less than weekly,Never,Never,Once a year or less,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,I don't do this,I don't do this,Very comfortable,I don't do this,I don't do this,Very comfortable,Very comfortable,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Very comfortable,I don't do this,I don't do this,Very comfortable,Very comfortable,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,45 - 59,Male,"$50,000 to $74,999",South Atlantic
303,Protestant,No,Weekly or more,A few times per week,Once a year or less,Once a month or less,A few times per week,A few times per week,A few times per week,A few times per month,Never,Every day,Once a year or less,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,I don't do this,Extremely comfortable,Very comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Somewhat comfortably,I don't do this,Very comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,45 - 59,Female,"$150,000 to $174,999",East North Central
304,Protestant,Yes,Weekly or more,Never,Never,A few times per month,Every day,A few times per week,A few times per week,A few times per month,Never,Never,Never,I don't do this,I don't do this,Very comfortable,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Very comfortable,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Very comfortable,Somewhat comfortably,Somewhat comfortably,Not so comfortable,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,45 - 59,Female,"$50,000 to $74,999",East South Central
306,Protestant,No,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,60+,Female,Prefer not to answer,Pacific
308,Jewish,No,Never,Not applicable to my religious beliefs,Never,Never,Once a year or less,Once a year or less,Never,Once a year or less,Never,Never,Never,I don't do this,I don't do this,I don't do this,Not at all comfortable,Not at all comfortable,I don't do this,Not at all comfortable,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,I don't do this,Somewhat comfortably,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Extremely comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Extremely comfortable,Extremely comfortable,Extremely comfortable,60+,Female,"$75,000 to $99,999",Middle Atlantic
309,Roman Catholic,No,Never,A few times per month,Never,Once a year or less,A few times per month,Once a year or less,Once a month or less,Never,Never,Never,Never,Somewhat comfortably,I don't do this,Somewhat comfortably,Very comfortable,Not so comfortable,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,I don't do this,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Very comfortable,Somewhat comfortably,Somewhat comfortably,30 - 44,Female,"$50,000 to $74,999",New England
310,Protestant,No,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Not so comfortable,Not so comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,60+,Male,"$100,000 to $124,999",South Atlantic
311,Protestant,Yes,Weekly or more,A few times per month,Not applicable to my religious beliefs,Every day,A few times per month,A few times per month,Once a month or less,Once a month or less,Not applicable to my religious beliefs,Never,Once a year or less,Extremely comfortable,I don't do this,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Extremely comfortable,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Somewhat comfortably,Very comfortable,Very comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,Not at all comfortable,Somewhat comfortably,Very comfortable,Extremely comfortable,Somewhat comfortably,Somewhat comfortably,60+,Female,Prefer not to answer,West South Central
312,None of these,No,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Every day,A few times per week,A few times per week,A few times per week,Once a month or less,Never,Never,Once a year or less,Extremely comfortable,I don't do this,Very comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,I don't do this,Extremely comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,Extremely comfortable,Somewhat comfortably,Somewhat comfortably,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Very comfortable,Not so comfortable,Somewhat comfortably,Somewhat comfortably,45 - 59,Female,"$10,000 to $24,999",West South Central
313,Orthodox Christian,No,Less than weekly,Every day,A few times per month,Every day,A few times per week,A few times per month,Once a month or less,Once a year or less,Never,Every day,Once a year or less,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Very comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,30 - 44,Male,"$50,000 to $74,999",Mountain
314,Mormon,No,Weekly or more,Every day,Never,Every day,A few times per week,A few times per month,A few times per month,A few times per month,Never,Never,Once a month or less,Somewhat comfortably,I don't do this,Extremely comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,Very comfortable,Very comfortable,I don't do this,Very comfortable,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,Extremely comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,18 - 29,Female,"$25,000 to $49,999",East North Central
315,Protestant,Yes,Weekly or more,Every day,A few times per week,A few times per week,A few times per week,A few times per week,Every day,A few times per week,Not applicable to my religious beliefs,Every day,Once a month or less,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,I don't do this,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Not so comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Not so comfortable,I don't do this,Very comfortable,Somewhat comfortably,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,45 - 59,Female,"$50,000 to $74,999",New England
316,None of these,No,Less than weekly,Once a month or less,Never,A few times per week,A few times per week,Once a month or less,Once a year or less,Never,Never,Never,Never,Extremely comfortable,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,Very comfortable,Extremely comfortable,I don't do this,I don't do this,Somewhat comfortably,I don't do this,Somewhat comfortably,Extremely comfortable,Extremely comfortable,Very comfortable,Very comfortable,Extremely comfortable,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,30 - 44,Male,"$25,000 to $49,999",West South Central
317,None of these,No,Weekly or more,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,45 - 59,Female,"$10,000 to $24,999",Middle Atlantic
318,Agnostic,No,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Very comfortable,Not so comfortable,Not at all comfortable,Somewhat comfortably,Not so comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,18 - 29,Male,Prefer not to answer,New England
320,None of these,No,Less than weekly,Once a year or less,Every day,A few times per month,Never,Once a month or less,Once a month or less,A few times per month,Once a month or less,Every day,Every day,Extremely comfortable,Not at all comfortable,Not so comfortable,Not at all comfortable,Not so comfortable,Very comfortable,Not at all comfortable,Not so comfortable,Extremely comfortable,Not so comfortable,Extremely comfortable,Not so comfortable,Very comfortable,Not at all comfortable,Extremely comfortable,I don't do this,Not at all comfortable,Not so comfortable,Extremely comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Not at all comfortable,Extremely comfortable,Not at all comfortable,Not at all comfortable,Somewhat comfortably,Very comfortable,18 - 29,Male,Prefer not to answer,South Atlantic
321,Roman Catholic,No,Less than weekly,Once a year or less,Never,Once a year or less,Once a year or less,Never,Once a year or less,Never,Never,Never,Never,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Very comfortable,Not so comfortable,Not so comfortable,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Not so comfortable,Not at all comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,18 - 29,Female,"$10,000 to $24,999",Pacific
322,None of these,No,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,Somewhat comfortably,I don't do this,Not so comfortable,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,I don't do this,I don't do this,I don't do this,Not at all comfortable,Not so comfortable,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Not so comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,60+,Male,"$150,000 to $174,999",Middle Atlantic
323,None of these,No,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Not so comfortable,Very comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,60+,Female,"$25,000 to $49,999",South Atlantic
324,Protestant,No,Less than weekly,Every day,Not applicable to my religious beliefs,Every day,A few times per week,Once a year or less,A few times per month,Once a year or less,Never,A few times per week,Not applicable to my religious beliefs,Extremely comfortable,I don't do this,Extremely comfortable,Very comfortable,I don't do this,Somewhat comfortably,Not so comfortable,I don't do this,Extremely comfortable,I don't do this,Somewhat comfortably,Somewhat comfortably,Very comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,60+,Female,"$50,000 to $74,999",South Atlantic
325,Roman Catholic,No,Weekly or more,A few times per week,Never,Once a month or less,A few times per month,A few times per month,A few times per month,Once a month or less,Once a month or less,Once a year or less,Once a year or less,Very comfortable,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,45 - 59,Male,Prefer not to answer,East North Central
326,Orthodox Christian,Yes,Weekly or more,Once a month or less,Never,Every day,Every day,A few times per month,Every day,A few times per week,Never,Never,Never,Very comfortable,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,I don't do this,Very comfortable,Very comfortable,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Not at all comfortable,Very comfortable,Not at all comfortable,45 - 59,Female,"$10,000 to $24,999",West South Central
331,Protestant,Yes,Weekly or more,A few times per week,Never,Every day,Every day,Every day,A few times per week,A few times per week,Never,A few times per month,A few times per week,Very comfortable,Somewhat comfortably,Very comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,Very comfortable,I don't do this,Somewhat comfortably,Very comfortable,Somewhat comfortably,I don't do this,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Very comfortable,Very comfortable,I don't do this,Somewhat comfortably,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Not so comfortable,Very comfortable,Very comfortable,Extremely comfortable,Very comfortable,Very comfortable,18 - 29,Male,"$0 to $9,999",Mountain
333,Agnostic,No,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not at all comfortable,Not at all comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,45 - 59,Male,"$50,000 to $74,999",South Atlantic
334,Orthodox Christian,No,Less than weekly,Never,Never,Once a year or less,Once a year or less,Never,Once a year or less,Never,Never,Once a year or less,Never,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not so comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not so comfortable,Not so comfortable,Not at all comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,Somewhat comfortably,Somewhat comfortably,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,30 - 44,Male,"$25,000 to $49,999",New England
335,None of these,No,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Not at all comfortable,Not at all comfortable,Not so comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,18 - 29,Male,"$0 to $9,999",New England
336,Mormon,No,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,A few times per month,Every day,A few times per week,Once a month or less,A few times per month,Every day,Not applicable to my religious beliefs,I don't do this,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,I don't do this,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,18 - 29,Male,"$10,000 to $24,999",South Atlantic
338,None of these,No,Never,Never,Never,Never,Never,Never,Never,Never,A few times per week,Never,Never,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Very comfortable,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Very comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Very comfortable,Very comfortable,Very comfortable,60+,Male,"$0 to $9,999",South Atlantic
339,Roman Catholic,No,Weekly or more,Never,Once a month or less,Once a month or less,A few times per month,Once a year or less,A few times per month,Once a year or less,Once a month or less,Every day,Never,I don't do this,Not so comfortable,Not so comfortable,Very comfortable,I don't do this,Not so comfortable,I don't do this,Extremely comfortable,Extremely comfortable,I don't do this,Not so comfortable,Not so comfortable,Not so comfortable,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Not at all comfortable,Somewhat comfortably,Very comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,45 - 59,Female,Prefer not to answer,New England
340,Agnostic,No,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,18 - 29,Male,"$10,000 to $24,999",Mountain
341,Agnostic,No,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,Not at all comfortable,Not at all comfortable,Somewhat comfortably,Somewhat comfortably,Very comfortable,60+,Female,"$125,000 to $149,999",West South Central
342,Protestant,Yes,Weekly or more,Never,Never,A few times per week,A few times per week,A few times per month,Once a month or less,Once a month or less,Never,Never,Never,I don't do this,I don't do this,Very comfortable,Extremely comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Very comfortable,Very comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Very comfortable,Not so comfortable,18 - 29,Male,"$50,000 to $74,999",East South Central
343,Roman Catholic,No,Never,A few times per month,Once a year or less,Never,A few times per month,Never,Once a month or less,Never,Never,Never,Never,Very comfortable,Very comfortable,Somewhat comfortably,Extremely comfortable,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Very comfortable,Very comfortable,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,45 - 59,Female,"$200,000 and up",West North Central
